Date,Level
25-05-10,246.732511743
26-05-10,246.89382401
27-05-10,246.944870322
28-05-10,246.932607357
29-05-10,246.8726066
30-05-10,246.827481794
31-05-10,246.780881974
01-06-10,246.717876657
02-06-10,246.680278896
03-06-10,246.624303416
04-06-10,246.56796219
05-06-10,246.529250541
06-06-10,246.518323731
07-06-10,246.498776123
08-06-10,246.537934185
09-06-10,247.206884385
10-06-10,247.881334037
11-06-10,248.376383561
12-06-10,248.335650722
13-06-10,248.119594095
14-06-10,247.893455719
15-06-10,247.697038958
16-06-10,247.573469454
17-06-10,247.461309054
18-06-10,247.351010726
19-06-10,247.262812246
20-06-10,247.206854926
21-06-10,247.145597695
22-06-10,247.08292983
23-06-10,247.023899599
24-06-10,246.974522982
25-06-10,246.943878978
26-06-10,246.971963744
27-06-10,246.987667888
28-06-10,246.965009424
29-06-10,246.92724423
30-06-10,246.887803173
01-07-10,246.851575137
02-07-10,246.844235443
03-07-10,246.928581537
04-07-10,246.932227925
05-07-10,246.905393807
06-07-10,246.862050334
07-07-10,246.819855117
08-07-10,246.794286719
09-07-10,246.880115615
10-07-10,246.875369679
11-07-10,246.850063739
12-07-10,246.816937734
13-07-10,246.811469134
14-07-10,246.810285821
15-07-10,246.807741335
16-07-10,246.792739533
17-07-10,246.77242116
18-07-10,246.739726877
19-07-10,246.701707723
20-07-10,246.668620431
21-07-10,246.651818013
22-07-10,246.635801134
23-07-10,246.617199885
24-07-10,246.591713507
25-07-10,246.560395699
26-07-10,246.526538395
27-07-10,246.493280858
28-07-10,246.459641451
29-07-10,246.427280482
30-07-10,246.394842176
31-07-10,246.367539485
01-08-10,246.338494848
02-08-10,246.314800119
03-08-10,246.288843836
04-08-10,246.258126334
05-08-10,246.226205886
06-08-10,246.19304346
07-08-10,246.159302314
08-08-10,246.12346807
09-08-10,246.089887133
10-08-10,246.057720937
11-08-10,246.024124981
12-08-10,245.991312229
13-08-10,245.960922044
14-08-10,245.929502673
15-08-10,245.896027072
16-08-10,245.859547793
17-08-10,245.822666267
18-08-10,245.789492894
19-08-10,245.767366083
20-08-10,245.737132121
21-08-10,245.701167927
22-08-10,245.66244007
23-08-10,245.629651357
24-08-10,245.619377541
25-08-10,245.594475711
26-08-10,245.559539138
27-08-10,245.533846772
28-08-10,245.505178549
29-08-10,245.466974531
30-08-10,245.423134531
31-08-10,245.377224141
01-09-10,245.338189773
02-09-10,245.334967528
03-09-10,245.312458118
04-09-10,245.277398032
05-09-10,245.235572091
06-09-10,245.200797353
07-09-10,245.25015832
08-09-10,245.322595514
09-09-10,245.350953339
10-09-10,245.329818391
11-09-10,245.286705591
12-09-10,245.236274365
13-09-10,245.18474446
14-09-10,245.133547551
15-09-10,245.08353996
16-09-10,245.049590977
17-09-10,245.099403985
18-09-10,245.09573248
19-09-10,245.07136343
20-09-10,245.032361537
21-09-10,244.988193342
22-09-10,244.943166538
23-09-10,244.903715822
24-09-10,244.914614706
25-09-10,244.915329407
26-09-10,244.895858638
27-09-10,244.860454277
28-09-10,244.817784236
29-09-10,244.775695434
30-09-10,244.754489547
01-10-10,244.728895593
02-10-10,244.699464192
03-10-10,245.728907223
04-10-10,246.306530882
05-10-10,246.304189514
06-10-10,246.679868415
07-10-10,246.658259946
08-10-10,246.61931347
09-10-10,247.061739594
10-10-10,247.027608918
11-10-10,246.886087465
12-10-10,246.739414199
13-10-10,246.610078073
14-10-10,246.500948499
15-10-10,246.415913519
16-10-10,246.352950865
17-10-10,246.304427421
18-10-10,246.261056284
19-10-10,246.224890371
20-10-10,246.196889962
21-10-10,246.176399793
22-10-10,246.16171011
23-10-10,246.172904628
24-10-10,246.215192148
25-10-10,246.294457715
26-10-10,246.288689047
27-10-10,246.270852173
28-10-10,246.25084638
29-10-10,246.569809912
30-10-10,247.088930796
31-10-10,247.908073585
01-11-10,248.097795485
02-11-10,247.947242237
03-11-10,247.732207153
04-11-10,247.540282201
05-11-10,247.376604209
06-11-10,247.25199282
07-11-10,247.194144583
08-11-10,247.328816409
09-11-10,247.94239312
10-11-10,248.246812993
11-11-10,248.21797597
12-11-10,248.131542898
13-11-10,248.018810801
14-11-10,248.623548024
15-11-10,248.781545663
16-11-10,248.724819017
17-11-10,248.930942581
18-11-10,248.943343245
19-11-10,249.020255057
20-11-10,249.651210568
21-11-10,249.880581568
22-11-10,249.790525936
23-11-10,249.522675535
24-11-10,249.206329078
25-11-10,248.893766999
26-11-10,248.614981089
27-11-10,248.371418594
28-11-10,248.191743855
29-11-10,248.050244161
30-11-10,248.176196443
01-12-10,248.147359301
02-12-10,248.076665924
03-12-10,248.022141845
04-12-10,247.923840817
05-12-10,248.219647896
06-12-10,248.91014272
07-12-10,249.195456475
08-12-10,250.018998018
09-12-10,249.830872272
10-12-10,249.509156678
11-12-10,249.148394507
12-12-10,248.805959933
13-12-10,248.508344392
14-12-10,248.252217307
15-12-10,248.031791902
16-12-10,247.848829454
17-12-10,247.734051832
18-12-10,247.669922241
19-12-10,247.606435256
20-12-10,247.621010868
21-12-10,247.949531262
22-12-10,248.455235415
23-12-10,248.661254531
24-12-10,248.559968745
25-12-10,248.369164804
26-12-10,248.172625074
27-12-10,248.013157611
28-12-10,247.981287285
29-12-10,248.008875496
30-12-10,247.963149513
31-12-10,247.938397989
01-01-11,247.864582649
02-01-11,247.787735384
03-01-11,247.740886863
04-01-11,247.995886972
05-01-11,248.710249852
06-01-11,249.806266651
07-01-11,250.198062257
08-01-11,250.700587042
09-01-11,250.775213499
10-01-11,250.446065772
11-01-11,250.134605734
12-01-11,249.749990272
13-01-11,249.354819008
14-01-11,248.975968426
15-01-11,248.637143338
16-01-11,248.360722674
17-01-11,248.352191403
18-01-11,248.308899557
19-01-11,248.386633083
20-01-11,248.210297573
21-01-11,247.985943177
22-01-11,247.767071152
23-01-11,247.582973903
24-01-11,247.436171917
25-01-11,247.324287526
26-01-11,247.24900527
27-01-11,247.268362375
28-01-11,247.28673541
29-01-11,247.310909825
30-01-11,247.335251824
31-01-11,247.308375968
01-02-11,247.269258184
02-02-11,247.225081237
03-02-11,247.18781167
04-02-11,247.16357786
05-02-11,247.143512215
06-02-11,247.122386566
07-02-11,247.099923178
08-02-11,247.080882954
09-02-11,247.093986515
10-02-11,247.088737316
11-02-11,247.109178844
12-02-11,247.256276086
13-02-11,247.509384522
14-02-11,247.767357387
15-02-11,248.162188251
16-02-11,248.692158622
17-02-11,248.890777261
18-02-11,248.807299499
19-02-11,248.723565256
20-02-11,248.572327017
21-02-11,248.550941091
22-02-11,248.47502333
23-02-11,248.273219067
24-02-11,248.034346196
25-02-11,247.816658231
26-02-11,247.655977835
27-02-11,247.550115841
28-02-11,247.470468206
01-03-11,247.416431815
02-03-11,247.378084754
03-03-11,247.353504406
04-03-11,247.327128914
05-03-11,247.309211286
06-03-11,247.283128523
07-03-11,247.25343222
08-03-11,247.22432056
09-03-11,247.19953883
10-03-11,247.178606684
11-03-11,247.155755715
12-03-11,247.225924213
13-03-11,247.452207497
14-03-11,247.629997565
15-03-11,247.872969185
16-03-11,248.028620977
17-03-11,247.975347148
18-03-11,247.832003312
19-03-11,247.685447616
20-03-11,247.563850255
21-03-11,247.467074379
22-03-11,247.389656349
23-03-11,247.34229493
24-03-11,247.316571237
25-03-11,247.387238022
26-03-11,247.531764508
27-03-11,248.007339213
28-03-11,248.233978681
29-03-11,248.278596913
30-03-11,248.383519319
31-03-11,248.270582072
01-04-11,248.075341504
02-04-11,247.901453166
03-04-11,247.803190463
04-04-11,247.739679779
05-04-11,247.666875266
06-04-11,247.591744042
07-04-11,247.522350565
08-04-11,247.467794518
09-04-11,247.42099436
10-04-11,247.399733497
11-04-11,247.390005982
12-04-11,247.369408741
13-04-11,247.340719788
14-04-11,247.308868744
15-04-11,247.27691118
16-04-11,247.246824434
17-04-11,247.218744879
18-04-11,247.229731114
19-04-11,247.577297189
20-04-11,247.916184654
21-04-11,248.11389121
22-04-11,248.208560215
23-04-11,248.304385354
24-04-11,248.244102447
25-04-11,248.084882902
26-04-11,247.920337828
27-04-11,247.779145699
28-04-11,247.66559575
29-04-11,247.586489679
30-04-11,247.573427736
01-05-11,247.685145888
02-05-11,247.848986576
03-05-11,247.91512682
04-05-11,247.865494457
05-05-11,247.797208067
06-05-11,247.749601484
07-05-11,247.871956808
08-05-11,248.055937277
09-05-11,248.037328891
10-05-11,247.93999266
11-05-11,247.836817007
12-05-11,247.757855351
13-05-11,247.704630469
14-05-11,247.669501585
15-05-11,247.620317583
16-05-11,247.566114154
17-05-11,247.515868628
18-05-11,247.487522338
